148: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
149: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
150: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
151: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
152: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
153: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
154: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
155: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
156: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
157: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
158: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
159: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
160: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
161: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
162: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
163: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
164: {(1, 16): [1, 9, 10, 16], (16, 19): [16, 7, 15, 19], (16, 11): [16, 10, 9, 1, 3, 2, 11]}
