0: {(1, 19): [1, 5, 8, 15, 19], (1, 16): [1, 4, 1, 9, 1, 3, 1, 5, 7, 16], (1, 11): [1, 3, 2, 11]}
145: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
146: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
147: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
148: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
149: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
150: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
151: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
152: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
153: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
154: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
155: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 5, 7, 16]}
156: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
157: {(1, 11): [1, 4, 13, 11], (1, 19): [1, 4, 13, 12, 14, 17, 19], (1, 16): [1, 4, 1, 9, 10, 16]}
